label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
NO SIGN,0.571596444,0.573106527,0.534914136,0.489233583,0.458353132,0.503140926,0.448663384,0.411641389,0.380528092,0.480006069,0.400176615,0.346537292,0.302549362,0.463115573,0.385551035,0.334791064,0.292793661,0.45146066,0.393972248,0.357925445,0.325906128,0.643152654,0.554504573,0.463660747,0.39989689,0.350442111,0.476096004,0.415749729,0.383196533,0.360343993,0.527142406,0.488724202,0.467165083,0.450354248,0.579539657,0.550806224,0.529349029,0.510461688,0.628619313,0.608844936,0.595422506,0.579769611
NO SIGN,0.713763535,0.638998568,0.591894627,0.559502542,0.532764077,0.619269967,0.570619941,0.539323807,0.512513876,0.645212412,0.586323142,0.550137043,0.520842969,0.67064923,0.612921298,0.579437912,0.552007198,0.694170833,0.648783386,0.616690636,0.587563574,0.703503549,0.661038816,0.615211487,0.576087296,0.543666005,0.533436418,0.518676102,0.52259028,0.527296662,0.53539145,0.544327259,0.563859642,0.583033562,0.551268399,0.571221948,0.592651725,0.61424315,0.579219043,0.583700359,0.593381524,0.607178628
NO SIGN,0.763581753,0.739640117,0.724286258,0.735670745,0.757787466,0.732555151,0.722591758,0.716381133,0.712590456,0.765780747,0.768552482,0.775963247,0.784103334,0.797507346,0.805012226,0.812953115,0.82071811,0.828502536,0.843973577,0.853423178,0.860941947,0.614576936,0.595851958,0.568368733,0.555449963,0.549332976,0.443782181,0.367314428,0.31807667,0.27721563,0.437196672,0.351076156,0.296385169,0.253204048,0.453197062,0.373311579,0.327706367,0.290496409,0.48532179,0.431257129,0.396109879,0.366439611
NO SIGN,0.736660719,0.686542749,0.660705924,0.653504848,0.643918872,0.707067192,0.712707281,0.701461792,0.690304995,0.74460727,0.757011116,0.740840256,0.728177667,0.780649185,0.808442235,0.797002971,0.788620591,0.81285274,0.843805909,0.849202633,0.854658365,0.638773203,0.58585459,0.517975509,0.468874931,0.440704823,0.417689919,0.346655488,0.330271065,0.33114177,0.424136192,0.355542958,0.354469568,0.369475603,0.442896008,0.378045917,0.372232974,0.38440302,0.475515157,0.426512778,0.399191052,0.38298595
NO SIGN,0.495968252,0.459639281,0.408557713,0.362968743,0.329663008,0.390903413,0.332272679,0.294320583,0.265061438,0.385594994,0.321370512,0.278926134,0.244380191,0.384751737,0.31682539,0.274392337,0.241461352,0.388703108,0.338839293,0.303537995,0.272974908,0.633799314,0.562106907,0.527694941,0.514425695,0.514505684,0.511716247,0.453959703,0.415798575,0.38678205,0.540616393,0.491339475,0.464064002,0.442854464,0.585265756,0.549055636,0.529838264,0.514804721,0.6408934,0.631869197,0.62728703,0.62425077
NO SIGN,0.404801071,0.329499304,0.256769598,0.200474679,0.154519945,0.22549215,0.141804457,0.091647848,0.047254756,0.244421959,0.174568772,0.133874208,0.103190988,0.268516928,0.206716686,0.19162935,0.185997561,0.295016199,0.242462784,0.225846365,0.218964785,0.692446291,0.677791595,0.680327833,0.698787928,0.711125076,0.641666889,0.655221283,0.658596814,0.659416139,0.648427069,0.746018171,0.816451669,0.869528472,0.671615601,0.779256403,0.842158735,0.885782957,0.701529741,0.783699512,0.830373108,0.865209937
NO SIGN,0.631542146,0.613619685,0.581524134,0.543349445,0.513478816,0.589618444,0.545967102,0.513859928,0.487663418,0.580702424,0.533202052,0.501710117,0.474940181,0.568435967,0.510675132,0.50564456,0.510807753,0.552229822,0.508584082,0.501450241,0.501078308,0.611986518,0.557758689,0.516321898,0.501860082,0.501278818,0.473107994,0.420476079,0.388216525,0.366749525,0.487257302,0.423139215,0.395347714,0.378177881,0.515495121,0.496926636,0.516422987,0.530820549,0.554228604,0.540056467,0.546337605,0.550039649
NO SIGN,0.65584898,0.625087738,0.603201747,0.611294508,0.618170738,0.574162304,0.550580859,0.539744496,0.533626318,0.598112464,0.595904768,0.596647084,0.597225726,0.622434855,0.629480958,0.636858106,0.640165627,0.645647168,0.646859765,0.650922835,0.652907789,0.609360874,0.611648738,0.590886831,0.557240605,0.529346824,0.514747739,0.479424119,0.457892358,0.44493264,0.495797753,0.43626973,0.399649322,0.373652279,0.495716929,0.474074423,0.504327893,0.527383089,0.506286442,0.488133252,0.510554314,0.531011105
NO SIGN,0.724425137,0.690536618,0.656350374,0.640063167,0.629466951,0.615920484,0.577249765,0.558662295,0.54426527,0.639316142,0.614586294,0.60638696,0.599393904,0.667788744,0.66064918,0.660758555,0.658848882,0.69802624,0.696241856,0.701530397,0.706023812,0.589694917,0.584122181,0.558720887,0.517880201,0.479829997,0.496933788,0.461878419,0.437127143,0.413406789,0.468405008,0.401213616,0.358813047,0.322148561,0.461583197,0.406107813,0.372065216,0.340516746,0.468701303,0.440333158,0.439544439,0.438811421
NO SIGN,0.52116245,0.47575295,0.419550627,0.378688008,0.345621139,0.38894254,0.348826468,0.324166,0.302988112,0.399478137,0.36433056,0.341336608,0.319247067,0.417300284,0.381393343,0.356288433,0.333336443,0.439274907,0.404134572,0.381940961,0.361921251,0.576844692,0.605696201,0.600319922,0.585775912,0.585916936,0.547335446,0.526595175,0.515261292,0.506696999,0.513373017,0.463442832,0.432656258,0.406941593,0.49220705,0.451673448,0.424895227,0.401779711,0.479327947,0.456453353,0.443961024,0.431478411
