label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41
A,0.313481003,0.356095582,0.403808117,0.442489564,0.465939224,0.426242113,0.451465994,0.437234163,0.422994435,0.408827752,0.433864206,0.422173858,0.407803953,0.386903882,0.412008703,0.401516795,0.386908829,0.364437997,0.387762249,0.37946558,0.367191374,0.61717391,0.576640904,0.530856967,0.493301809,0.474380404,0.498954624,0.474870771,0.48925674,0.501497149,0.512911379,0.489753664,0.504188716,0.51719743,0.531571567,0.509293258,0.521711707,0.534522653,0.551653445,0.532600999,0.54357487,0.553495526,0.630527198,0.590181589,0.576266885,0.56210345,0.535788,0.640271127,0.671718955,0.664214611,0.651557326,0.675551116,0.701875865,0.689961672,0.677471876,0.703557849,0.724765599,0.713186979,0.701271653,0.726160049,0.740807772,0.727745712,0.717387319,0.645828903,0.604945779,0.589030027,0.572646499,0.539696574,0.638975263,0.673988104,0.668454766,0.653847516,0.679019511,0.703744948,0.6962201,0.68312031,0.713700294,0.729689956,0.721939683,0.709562421,0.741719842,0.749202251,0.739395082,0.728776217
A,0.396641493,0.437788218,0.486620963,0.523636281,0.544201493,0.515370488,0.532857418,0.518083572,0.505531192,0.498757601,0.514531314,0.501325905,0.487833589,0.476548851,0.49364236,0.482464343,0.468791693,0.452886552,0.469791532,0.459747463,0.44871974,0.699812949,0.659312725,0.606813788,0.568631709,0.551431119,0.58865726,0.553097606,0.567095101,0.580830812,0.603991032,0.56704253,0.582384229,0.597742379,0.622142136,0.589274526,0.602208972,0.616788566,0.641140819,0.613368154,0.62463063,0.636986613,0.601405084,0.562718928,0.547367156,0.533148348,0.50488317,0.610459328,0.644683182,0.641349554,0.627352476,0.645630062,0.676017642,0.668931663,0.655240595,0.675357938,0.70119524,0.692863226,0.677707672,0.699387848,0.718197584,0.706860006,0.693030536,0.619600236,0.577678323,0.561675251,0.540149808,0.505581856,0.605407774,0.642417669,0.637633622,0.623163879,0.643507957,0.674304426,0.666441023,0.653590083,0.677081048,0.700289726,0.689881384,0.677431762,0.705031574,0.7188676,0.707738042,0.697352648
A,0.410489023,0.464687943,0.522937298,0.570229113,0.599220634,0.547356069,0.579925895,0.5633201,0.546206653,0.526094496,0.556991339,0.542832971,0.526352704,0.499437779,0.530599773,0.518370152,0.500641704,0.472661912,0.501265109,0.490898669,0.475640535,0.789049804,0.736280203,0.673589289,0.623997867,0.601339638,0.654201567,0.606294394,0.623200059,0.642693102,0.670589924,0.62256819,0.638195872,0.658175111,0.690699816,0.650707006,0.662348032,0.679755628,0.711775005,0.680708468,0.690546095,0.703588665,0.597889662,0.551390529,0.535907924,0.519480169,0.485194087,0.608042479,0.651996255,0.642168224,0.623828053,0.652373135,0.686383843,0.67276144,0.65698117,0.687669456,0.715239167,0.701476574,0.684922814,0.714930654,0.733087063,0.718311489,0.704130888,0.631301343,0.578922868,0.56080097,0.533894777,0.487310767,0.611320674,0.649045467,0.643845975,0.629195929,0.660988927,0.691315651,0.682172894,0.668776333,0.70339793,0.720434844,0.707890153,0.695275605,0.736556649,0.742279351,0.727917314,0.716534257
A,0.456481546,0.49993068,0.550024688,0.589361131,0.612089694,0.579018116,0.600386858,0.584169328,0.569835007,0.563421965,0.583119869,0.568141341,0.553899169,0.542006016,0.562762916,0.548993886,0.534005642,0.518559694,0.540298104,0.528862,0.516311049,0.780305386,0.734613836,0.680857897,0.640004635,0.618977487,0.6609115,0.623996913,0.638833702,0.65447104,0.677671671,0.63981539,0.654220343,0.671124756,0.697296798,0.663930118,0.675666809,0.690894485,0.717477739,0.68717891,0.697807252,0.711232543,0.542776525,0.501181901,0.484922767,0.470045328,0.442062229,0.540616274,0.583247423,0.582413673,0.56797123,0.577865422,0.613960087,0.608691752,0.594732761,0.610910892,0.640006959,0.632578731,0.617946148,0.638571143,0.659047842,0.648872972,0.636090696,0.560862362,0.518800259,0.504231513,0.485022128,0.44765389,0.54769659,0.587199509,0.580921113,0.565634668,0.586643636,0.619566798,0.610645354,0.5968557,0.621473014,0.644180894,0.634681523,0.621755004,0.650927901,0.666251957,0.655099988,0.644138575
A,0.294724822,0.337013394,0.3892456,0.428489953,0.451580107,0.399779648,0.434195578,0.422412723,0.407120407,0.380671769,0.41478321,0.406920105,0.392419338,0.359176904,0.392108291,0.384739935,0.370568097,0.338339508,0.367822945,0.361683846,0.349223584,0.601782203,0.560576141,0.513357103,0.476570487,0.459381193,0.484205484,0.462611079,0.476300716,0.490334362,0.496764719,0.476379424,0.489794254,0.503841221,0.514498711,0.495290279,0.506920576,0.519653618,0.534164965,0.517170668,0.527189374,0.536656201,0.59216845,0.557157576,0.549983382,0.539715707,0.513923466,0.608368039,0.646744192,0.6323089,0.616789103,0.643524826,0.676232636,0.659393013,0.646089077,0.671107471,0.698193133,0.682738483,0.669820249,0.69232589,0.712256253,0.698994339,0.68872714,0.623823047,0.584496856,0.568717659,0.549891829,0.514536262,0.616835296,0.65110606,0.646715581,0.633659422,0.654505789,0.679948509,0.67261076,0.660092115,0.687416077,0.705232501,0.697911263,0.686236918,0.714684486,0.72476685,0.715674818,0.70529294
A,0.265637308,0.314494133,0.375189245,0.420031428,0.448999852,0.390927851,0.430924594,0.415736437,0.397875398,0.370500803,0.409752786,0.396350861,0.37879321,0.346335083,0.383844435,0.371546924,0.354058236,0.321650386,0.356824905,0.347507,0.332076013,0.622909367,0.576894104,0.523652315,0.483767897,0.463409483,0.490445256,0.465135634,0.482686251,0.496416271,0.505713224,0.480806053,0.498286426,0.512149274,0.526759923,0.505270123,0.520204306,0.533522367,0.550029337,0.530949056,0.543949366,0.555080235,0.631246388,0.589080811,0.575060964,0.564907372,0.539297938,0.632941365,0.68707478,0.679866493,0.661520064,0.672896028,0.722887933,0.710412741,0.692072093,0.707721531,0.750396669,0.736809492,0.720533848,0.737155437,0.765461683,0.751364648,0.738486707,0.656129479,0.612985432,0.595140398,0.572048545,0.537903368,0.648082018,0.694013178,0.692696512,0.676140726,0.690279841,0.728992641,0.725338697,0.709483683,0.729039252,0.755789816,0.750011623,0.735707104,0.761333704,0.776213169,0.767607391,0.755531013
A,0.271310687,0.323680282,0.389959723,0.43546477,0.459545195,0.399355054,0.441082656,0.424699485,0.407526791,0.373799056,0.417527109,0.402910322,0.385455996,0.346418381,0.388792723,0.37575686,0.358731776,0.319389254,0.358213276,0.347597361,0.331887126,0.64703536,0.599393129,0.540969253,0.496387273,0.473382026,0.510955453,0.483120441,0.501307786,0.513093233,0.531657517,0.503162563,0.521788418,0.535365045,0.556154788,0.53022033,0.546756208,0.560838044,0.582035482,0.558535695,0.573452771,0.586039126,0.579330564,0.542949677,0.533463955,0.518128455,0.482329071,0.577068269,0.645049274,0.636909068,0.616472244,0.615812004,0.6839329,0.66814959,0.646535814,0.65190798,0.712270558,0.694051683,0.67231369,0.682987928,0.723763049,0.708259404,0.691833854,0.58950007,0.54775387,0.537714422,0.522299409,0.486440241,0.589868486,0.648461759,0.641774178,0.620152175,0.631701052,0.681527913,0.672481,0.653129399,0.67032057,0.708228588,0.696880221,0.67814225,0.703271985,0.728586733,0.714845598,0.698036492
A,0.283084482,0.334451437,0.402219445,0.449400067,0.475643158,0.417952508,0.458001852,0.441616744,0.425092876,0.394062608,0.434768379,0.419358641,0.402450413,0.366928995,0.407456517,0.392356783,0.374882281,0.339781642,0.378525883,0.36559847,0.3493599,0.663821638,0.615459204,0.555489182,0.511450291,0.487803429,0.529328704,0.499212235,0.516606629,0.531444311,0.548099637,0.517814517,0.536134362,0.551659703,0.57056433,0.544205189,0.560629904,0.574548602,0.594907224,0.571936369,0.586623311,0.59882164,0.596073389,0.55722034,0.547115326,0.531215608,0.494260877,0.589845657,0.657978415,0.652377009,0.630891681,0.629316509,0.697238326,0.684223592,0.661380112,0.667236447,0.725460947,0.710062325,0.688697219,0.700468779,0.742164791,0.728537679,0.711961508,0.616337359,0.57268101,0.554403245,0.534827471,0.498291612,0.601715565,0.660334408,0.656905472,0.636449397,0.643854797,0.697371244,0.689105868,0.668750942,0.682457864,0.725188613,0.714911044,0.695562899,0.716137052,0.745376706,0.733565331,0.716599166
A,0.333081543,0.380403578,0.439588696,0.47954601,0.501784146,0.451250255,0.48543036,0.469021499,0.45421955,0.430575132,0.464250922,0.450043589,0.436082572,0.40705061,0.44090572,0.427752614,0.412844181,0.384106159,0.417312592,0.406681955,0.392521203,0.664899468,0.621830106,0.568296075,0.530568361,0.512818158,0.543351531,0.518064976,0.533884645,0.547101378,0.560466051,0.534877896,0.550120592,0.563946187,0.580667913,0.557289839,0.571471632,0.585177541,0.602535903,0.581243038,0.594353199,0.606264114,0.59295541,0.557946503,0.546725571,0.529738605,0.496518075,0.59001106,0.649620295,0.641458213,0.621834517,0.622372687,0.677055418,0.664540112,0.6465711,0.653284669,0.699857831,0.686893106,0.669880629,0.679547906,0.712522447,0.70140332,0.687940598,0.604316354,0.568074465,0.554754019,0.53821516,0.504827261,0.597618341,0.649078846,0.643325388,0.624942422,0.634721935,0.67992276,0.671081066,0.654052556,0.669035375,0.704744875,0.693733215,0.677768409,0.698932946,0.722878337,0.710274696,0.695763469
A,0.328146875,0.371480733,0.430027634,0.470052153,0.492601454,0.439394653,0.475555867,0.458182961,0.44361499,0.419775158,0.454974443,0.439338297,0.425379366,0.396985948,0.430910468,0.416641712,0.402689844,0.373544008,0.403761715,0.392707527,0.380587518,0.649831116,0.609948874,0.557130396,0.518600821,0.502138376,0.531410158,0.50290817,0.518925726,0.532544971,0.547696948,0.518863261,0.536000073,0.550627172,0.566433787,0.539663613,0.554284334,0.568162322,0.58626467,0.561428368,0.574509382,0.586209893,0.573033094,0.539509773,0.528346837,0.513425589,0.481456071,0.559758604,0.619985402,0.615311146,0.596977174,0.590277135,0.652546585,0.640782237,0.619864583,0.620253444,0.673108101,0.66008234,0.640987456,0.646884441,0.683132172,0.671570003,0.65656209,0.58886385,0.547137916,0.532460928,0.518025756,0.486272097,0.571675837,0.622708499,0.618885517,0.601486325,0.608528435,0.65445292,0.647139192,0.63043499,0.643194616,0.679135263,0.669745862,0.653869212,0.674150109,0.696026564,0.684981525,0.671460867
